source,target
Shriker,Caretaker (comics)
Shriker,Ghost Rider
Gilded Lily (character),Diablo (Marvel Comics)
Carrion (comics),Carnage (comics)
Carrion (comics),Demogoblin
Carrion (comics),Shriek (comics)
Carrion (comics),Cletus Kasady
Carrion (comics),Doppelganger (comics)
Ms. Marvel (Kamala Khan),Inferno (Dante Pertuz)
Space Phantom,Grim Reaper (comics)
Gambit (comics),Danger Room
Glob (comics),Leader (comics)
Gladiator (Melvin Potter),Alexander Bont
Exodus (comics),Man-Beast
Super Sabre (comics),Stonewall (comics)
Super Sabre (comics),Crimson Commando
S'ym,Belasco (Marvel Comics)
Matador (Marvel Comics),Man-Bull
Tiger Shark (Marvel Comics),Attuma
Mad Thinker,Egghead (Marvel Comics)
Mad Thinker,Puppet Master (Marvel Comics)
Mad Thinker,Awesome Android
Mad Thinker,Wizard (Marvel Comics)
Mad Thinker,Klaw (Marvel Comics)
Alpha the Ultimate Mutant,Futurist (comics)
Mariko Yashida,Wolverine (character)
Demogoblin,Carnage (comics)
Demogoblin,Doppelganger (comics)
Demogoblin,Cletus Kasady
Demogoblin,Shriek (comics)
Scarecrow (Marvel Comics),Eel (comics)
Scarecrow (Marvel Comics),Porcupine (comics)
Scarecrow (Marvel Comics),Count Nefaria
Scarecrow (Marvel Comics),Will o' the Wisp (comics)
Scarecrow (Marvel Comics),Unicorn (comics)
Scarecrow (Marvel Comics),Plantman
Redwing (Marvel Comics),Falcon (comics)
Hiro Takachiho,Baymax
Lilith (Marvel Comics),Zarathos
Baron Strucker,Helmut Zemo
Baron Strucker,Red Skull
Presence (Marvel Comics),Starlight (Marvel Comics)
Swordsman (comics),Hawkeye (comics)
Blackout (Lilin),Deathwatch (comics)
Falcon (comics),Captain America
Krang (Marvel Comics),Attuma
Krang (Marvel Comics),Orka (comics)
Krang (Marvel Comics),Puppet Master (Marvel Comics)
Krang (Marvel Comics),Byrrah
Mandrill (comics),Silver Samurai
Mandrill (comics),Nekra
Black Tom Cassidy,Mondo (comics)
Black Tom Cassidy,Juggernaut (comics)
Baron Mordo,Dormammu
Baron Mordo,Kaecilius
Nate Grey,Madelyne Pryor
Nate Grey,Threnody (comics)
Annihilus,Blastaar
Jamie Braddock,Psylocke
Jamie Braddock,Sat-Yr-9
Diablo (Marvel Comics),Dragon Man
Molten Man,Will o' the Wisp (comics)
Abomination (comics),Leader (comics)
Abomination (comics),Rhino (comics)
Abomination (comics),Galaxy Master
Ghaur,Attuma
Danger Room,Rogue (comics)
Danger Room,Ord (comics)
Copycat (Marvel Comics),Domino (comics)
Copycat (Marvel Comics),Deadpool
Copycat (Marvel Comics),Garrison Kane
Mangog,Thanos
Hulk (comics),Mole Man
Hulk (comics),She-Hulk
Hulk (comics),Doc Samson
Ymir (Marvel Comics),Surtur (Marvel Comics)
Thanos,Pip the Troll
Chimera (Marvel Comics),Emplate
Chimera (Marvel Comics),Dirtnap (comics)
Spot (comics),Kangaroo (comics)
Prowler (comics),Spider-Man
Black Bolt,Inferno (Dante Pertuz)
Harry Osborn,Spider-Man
Tyrak,Attuma
Shuri (comics),Black Panther (comics)
Fenris (comics),Abraham Cornelius
Jennifer Kale,Man-Thing
Mister Hyde (comics),Batroc the Leaper
Mister Hyde (comics),Mac Gargan
Mockingbird (Marvel Comics),Spider-Man
Mockingbird (Marvel Comics),Hawkeye (comics)
Man-Ape,Grim Reaper (comics)
Iron Fist (comics),Power Man (Victor Alvarez)
Iron Fist (comics),Luke Cage
Iron Fist (comics),Misty Knight
Iron Fist (comics),Colleen Wing
Iron Fist (comics),White Tiger (Angela del Toro)
Crossbones (comics),Red Skull
Crossbones (comics),Sin (Marvel Comics)
Egghead (Marvel Comics),Puppet Master (Marvel Comics)
Demolition Man (comics),Captain America
Kaecilius,Dormammu
Deadpool,Domino (comics)
Deadpool,Spider-Man
Sin (Marvel Comics),Red Skull
Eel (comics),Unicorn (comics)
Wizard (Marvel Comics),Puppet Master (Marvel Comics)
Beast (comics),Abigail Brand
Nekra,Grim Reaper (comics)
Hela (comics),Midgard Serpent (Marvel Comics)
Hela (comics),Fenris Wolf (Marvel Comics)
Hela (comics),Loki (comics)
Juggernaut (comics),Mondo (comics)
Juggernaut (comics),Cyttorak
Umar (Marvel Comics),Dormammu
Doctor Doom,Puppet Master (Marvel Comics)
Namor,Fin (comics)
Namor,Namora
Namor,Stingray (comics)
Hawkeye (comics),Black Widow (Natasha Romanova)
Wraith (Marvel Comics),Spider-Man
Inferno (Dante Pertuz),Gorgon (Inhuman)
Inferno (Dante Pertuz),Medusa (comics)
Puma (comics),Spider-Man
Puma (comics),Black Cat (Marvel Comics)
Volcana (Marvel Comics),Molecule Man
Black Cat (Marvel Comics),Spider-Man
Black Cat (Marvel Comics),Silk (comics)
Spider-Man,Kingpin (character)
Spider-Man,Silk (comics)
Ringer (comics),Leila Davis
Power Broker,Red Skull
Misty Knight,Colleen Wing
Misty Knight,Luke Cage
Doctor Octopus,Chameleon (comics)
Luke Cage,Power Man (Victor Alvarez)
Luke Cage,Colleen Wing
Ravonna,Kang the Conqueror
Leila Davis,Boomerang (comics)
Leila Davis,Vulture (Marvel Comics)
Leila Davis,Rhino (comics)
Silver Samurai,Boomerang (comics)
Silver Samurai,Viper (Madame Hydra)
Will o' the Wisp (comics),Jonas Harrow
Black Fox (Raul Chalmers),Red Ghost
Dormammu,Nicholas Scratch
Cloak and Dagger (comics),Mayhem (comics)
Darkstar (comics),Griffin (Marvel Comics)
Darkstar (comics),Titanium Man
Mole Man,Kala (comics)
Mole Man,Red Ghost
Mole Man,Giganto
Thor (Marvel Comics),Sif (comics)
Surtur (Marvel Comics),Loki (comics)
Unicorn (comics),Red Ghost
Unicorn (comics),Titanium Man
Unicorn (comics),Porcupine (comics)
Unicorn (comics),Count Nefaria
Unicorn (comics),Plantman
Black Widow (Natasha Romanova),Captain America
Leader (comics),Madman (Marvel Comics)
Leader (comics),Chameleon (comics)
Doctor Strange,Topaz (Marvel Comics)
Ghost Rider,Vengeance (comics)
Cletus Kasady,Doppelganger (comics)
Cletus Kasady,Shriek (comics)
Gibbon (comics),Kangaroo (comics)
Devil Dinosaur,Moon Girl (Marvel Comics)
Devil Dinosaur,Moon-Boy
Shriek (comics),Carnage (comics)
Shriek (comics),Doppelganger (comics)
Discus (comics),Stiletto (comics)
Black Panther (comics),Storm (Marvel Comics)
Spider-Girl,Buzz (comics)
Doctor Faustus (comics),Red Skull
Attuma,Red Ghost
Attuma,Byrrah
Jocasta (comics),Ultron
Jocasta (comics),Hank Pym
Electro (Marvel Comics),Chameleon (comics)
Chameleon (comics),Hammerhead (comics)
Chameleon (comics),Red Skull
Spider-Woman (Jessica Drew),Silk (comics)
Spider-Woman (Jessica Drew),Spider-Woman (Gwen Stacy)
Grizzly (comics),Kangaroo (comics)
Grizzly (comics),Jackal (Marvel Comics)
Vengeance (comics),Eddie Brock
Bucky (Marvel Comics),Captain America
Kangaroo (comics),Jonas Harrow
Free Spirit (comics),Captain America
Psycho-Man,Shellshock (Marvel Comics)
Grim Reaper (comics),Ultron
Grim Reaper (comics),Black Talon (comics)
Boomerang (comics),Viper (Madame Hydra)
Kid Kaiju,Moon Girl (Marvel Comics)
Kid Kaiju,Elsa Bloodstone
Jack Flag,Captain America
Spider-Woman (Gwen Stacy),Silk (comics)
Carnage (comics),Doppelganger (comics)
Man-Beast,Bi-Beast
Captain America,Rikki Barnes
Red Skull,Viper (Madame Hydra)
Red Skull,Arnim Zola
Apocalypse (Marvel Comics),Mister Sinister
Namora,Fin (comics)
